order_id,order_date,customer_id,product_id,product_category,product_price,quantity,order_value,discount_percentage,discount_amount,customer_city,warehouse_city,distance_km,is_remote_area,shipping_mode,expected_delivery_days,actual_delivery_days,delivery_delay,is_returned,return_reason,total_orders,past_return_rate,avg_order_value,review_rating,review_text,review_date,base_return_tendency,home_city,defect_rate
40,2024-12-18,190,P008,Home,1219,2,2438,15,365.7,Hyderabad,Bangalore,500,0,Standard,5,5,0,0,NO_RETURN,13,0.0833,1317.0,5.0,This item is perfect for my needs. High quality materials and easy to assemble. Recommend!,2025-01-06,0.0688260758580526,Hyderabad,0.0089
41,2024-02-10,277,P051,Home,791,2,1582,0,0.0,Pune,Bangalore,722,0,Express,2,2,0,0,NO_RETURN,4,0.3333,870.33,4.0,"Decent item. Functional and well-made. Packaging was okay, arrived on time.",2024-02-18,0.031216385666499712,Pune,0.0155
42,2024-09-24,72,P072,Beauty,279,1,279,20,55.8,Ahmedabad,Kolkata,1836,1,Express,2,3,1,0,NO_RETURN,10,0.3333,3049.89,,,,0.2403624394455053,Ahmedabad,0.0397
43,2024-10-17,161,P036,Electronics,2663,1,2663,30,798.9,Pune,Delhi,1137,0,Standard,4,8,4,1,QUALITY_DEFECT,17,0.4375,1144.69,,,,0.09598407354742522,Pune,0.018
44,2024-11-13,266,P014,Clothing,742,1,742,0,0.0,Bangalore,Delhi,1808,1,Express,2,2,0,1,SIZE_FIT_ISSUE,14,0.6154,1970.38,3.0,This garment is mediocre. Comfortable but sizing runs small. Mixed reviews.,2024-11-22,0.3768938330228168,Bangalore,0.0081
45,2024-12-22,235,P065,Beauty,358,1,358,5,17.9,Hyderabad,Kolkata,1260,1,Express,2,4,2,0,NO_RETURN,15,0.4286,3317.0,5.0,This product is a game-changer. High quality ingredients and visible results. Love it!,2024-12-31,0.042929589934521444,Hyderabad,0.005
46,2024-05-01,99,P045,Home,694,1,694,5,34.7,Bangalore,Mumbai,831,0,Express,2,2,0,0,NO_RETURN,7,0.0,1631.17,,,,0.0914341528590431,Bangalore,0.0178
47,2024-09-30,118,P033,Home,943,1,943,25,235.75,Kolkata,Delhi,1241,1,Standard,4,5,1,0,NO_RETURN,9,0.375,1267.62,,,,0.06292229576961633,Kolkata,0.005
48,2024-06-24,294,P064,Electronics,1692,3,5076,10,507.6,Chennai,Kolkata,1433,1,Standard,4,4,0,0,NO_RETURN,8,0.2857,3415.14,,,,0.11245415515307722,Chennai,0.0356
49,2024-06-03,67,P075,Home,1130,3,3390,10,339.0,Hyderabad,Kolkata,1142,0,Standard,4,4,0,1,WRONG_ITEM,10,0.4444,2238.22,,,,0.18373102745605766,Hyderabad,0.0073
50,2024-07-19,35,P006,Electronics,732,1,732,30,219.6,Mumbai,Hyderabad,600,0,Standard,7,8,1,0,NO_RETURN,13,0.3333,2003.75,,,,0.11463365684346738,Mumbai,0.0343
51,2024-02-11,162,P053,Clothing,951,2,1902,0,0.0,Kolkata,Bangalore,1562,1,Express,2,7,5,0,NO_RETURN,4,0.6667,977.33,2.0,Subpar garment. Sizing wrong and poor stitching. Delivery was okay.,2024-02-29,0.12222181584601793,Kolkata,0.0519
52,2024-09-29,280,P013,Home,2112,1,2112,5,105.6,Mumbai,Delhi,1246,1,Standard,6,7,1,1,QUALITY_DEFECT,11,0.1,3719.4,2.0,This item is subpar. Difficult assembly and low quality. Not worth it.,2024-10-12,0.16415533065810944,Mumbai,0.0691
53,2024-09-23,164,P019,Electronics,3715,1,3715,0,0.0,Pune,Bangalore,787,0,Standard,4,5,1,0,NO_RETURN,10,0.1111,2382.56,4.0,"Good device overall. Works well but battery could be better. Still, good value for money.",2024-10-02,0.09684648021578414,Pune,0.0237
54,2024-08-23,17,P019,Electronics,3866,1,3866,5,193.3,Ahmedabad,Delhi,772,0,Standard,5,6,1,0,NO_RETURN,10,0.6667,1688.89,5.0,Perfect purchase! The device works exactly as advertised. Great value and fast shipping.,2024-09-04,0.26055340597402743,Ahmedabad,0.0237
55,2024-06-27,203,P064,Electronics,1810,1,1810,10,181.0,Hyderabad,Mumbai,639,0,Express,4,7,3,0,NO_RETURN,10,0.4444,1564.33,4.0,"Good device overall. Works well but battery could be better. Still, good value for money.",2024-07-06,0.20526855148800066,Hyderabad,0.0356
56,2024-11-18,225,P072,Beauty,273,1,273,15,40.95,Kolkata,Bangalore,1758,1,Standard,7,11,4,1,NOT_AS_DESCRIBED,16,0.2667,1753.2,1.0,"Complete failure. Irritates skin badly. Horrible purchase, regret it.",2024-11-27,0.22201901405614574,Kolkata,0.0397
57,2024-07-12,298,P064,Electronics,1712,2,3424,10,342.4,Hyderabad,Kolkata,1283,1,Express,3,4,1,1,NO_LONGER_NEEDED,5,0.0,1544.0,1.0,Great job making a device that works perfectly as a paperweight! Because it certainly doesn't do anything else.,2024-07-19,0.12148670598216775,Hyderabad,0.0356
58,2024-11-08,25,P037,Home,2147,3,6441,25,1610.25,Pune,Mumbai,131,0,Express,4,4,0,1,QUALITY_DEFECT,21,0.45,2870.75,1.0,"I bought this item hoping to use it, but I guess I'm just storing garbage now. Beautiful.",2024-11-18,0.2210717789816777,Pune,0.0476
59,2024-06-21,75,P072,Beauty,279,1,279,0,0.0,Bangalore,Bangalore,111,0,Standard,7,7,0,0,NO_RETURN,3,0.0,3191.5,,,,0.14631662684731064,Bangalore,0.0397
60,2024-10-02,144,P060,Clothing,897,1,897,20,179.4,Mumbai,Delhi,1293,1,Standard,6,6,0,0,NO_RETURN,13,0.5,2078.67,5.0,Beautiful garment! True to size and great fabric. Fast delivery and excellent packaging.,2024-10-16,0.2536834540020848,Mumbai,0.0212
61,2024-09-25,295,P065,Beauty,376,1,376,15,56.4,Chennai,Mumbai,915,0,Express,4,5,1,0,NO_RETURN,9,0.375,1816.25,,,,0.1800317244666961,Chennai,0.005
62,2024-02-22,148,P032,Beauty,274,1,274,10,27.4,Hyderabad,Delhi,1119,0,Express,3,3,0,1,NOT_AS_DESCRIBED,3,0.0,815.5,,,,0.1658790896168005,Hyderabad,0.0325
63,2024-03-19,248,P075,Home,1118,1,1118,20,223.6,Kolkata,Mumbai,1758,1,Express,2,2,0,0,NO_RETURN,4,0.3333,4128.67,3.0,So-so item. Serves purpose but instructions unclear. Mixed feelings.,2024-03-24,0.07265232832638144,Kolkata,0.0073
64,2024-06-10,139,P065,Beauty,365,2,730,25,182.5,Bangalore,Bangalore,92,0,Express,4,4,0,0,NO_RETURN,9,0.625,1787.12,,,,0.28473187537986244,Bangalore,0.005
65,2024-08-04,218,P029,Electronics,1270,1,1270,0,0.0,Mumbai,Mumbai,22,0,Standard,7,7,0,0,NO_RETURN,5,0.0,2513.25,4.0,Solid device. Performs as expected with minor issues. Fast delivery and decent quality.,2024-08-14,0.0426126122725282,Mumbai,0.0233
66,2024-10-29,21,P012,Electronics,2244,3,6732,10,673.2,Kolkata,Kolkata,50,0,Standard,7,7,0,1,NOT_AS_DESCRIBED,10,0.3333,3874.78,,,,0.042132779465575775,Kolkata,0.0071
67,2024-01-16,210,P013,Home,2037,2,4074,20,814.8,Mumbai,Hyderabad,648,0,Express,4,4,0,1,SIZE_FIT_ISSUE,1,0.0,4074.0,1.0,Complete disappointment. item is unusable. Regret the purchase.,2024-01-29,0.39052669344838886,Mumbai,0.0691
68,2024-11-21,263,P036,Electronics,2676,1,2676,20,535.2,Kolkata,Delhi,1184,0,Express,4,4,0,0,NO_RETURN,13,0.1667,1270.25,5.0,Perfect purchase! The device works exactly as advertised. Great value and fast shipping.,2024-12-03,0.18976915085355667,Kolkata,0.018
69,2024-09-14,46,P013,Home,1965,1,1965,10,196.5,Ahmedabad,Kolkata,1613,1,Standard,4,8,4,1,QUALITY_DEFECT,8,0.4286,1468.0,1.0,"If you enjoy assembling items that are missing half the screws, this is the product for you!",2024-09-30,0.2892442434560585,Ahmedabad,0.0691
70,2024-12-05,228,P060,Clothing,918,1,918,0,0.0,Mumbai,Delhi,1018,0,Express,3,3,0,1,SIZE_FIT_ISSUE,14,0.5385,1321.38,2.0,Disappointing fit and quality. Cheap material and arrived wrinkled. Bad experience.,2024-12-14,0.1468197991286229,Mumbai,0.0212
71,2024-01-07,224,P025,Home,442,1,442,0,0.0,Kolkata,Mumbai,1552,1,Express,4,7,3,0,NO_RETURN,2,0.0,1790.0,,,,0.15379726524985618,Kolkata,0.005
72,2024-02-14,160,P075,Home,1152,1,1152,0,0.0,Pune,Mumbai,110,0,Standard,7,7,0,0,NO_RETURN,3,0.5,1931.0,,,,0.08584419035702809,Pune,0.0073
73,2024-11-26,104,P009,Beauty,1037,1,1037,5,51.85,Chennai,Kolkata,1244,1,Standard,5,9,4,0,NO_RETURN,23,0.4091,2014.41,3.0,Okay product. Decent results but expensive for what it is. Fast delivery.,2024-12-09,0.11579848284885043,Chennai,0.024
74,2024-03-08,267,P077,Beauty,297,2,594,0,0.0,Delhi,Kolkata,1241,1,Express,3,3,0,1,SIZE_FIT_ISSUE,5,0.5,1942.0,1.0,Smells like industrial cleaner and works just as poorly. Incredible formulation on this product!,2024-03-18,0.06619571642905904,Delhi,0.0238
75,2024-02-23,5,P052,Electronics,1556,1,1556,20,311.2,Mumbai,Mumbai,70,0,Express,3,3,0,1,NOT_AS_DESCRIBED,2,1.0,1478.0,4.0,Nice device! Functions properly and arrived on time. Minor complaints but overall satisfied.,2024-03-10,0.12714491085778856,Mumbai,0.0356
76,2024-11-30,210,P078,Clothing,916,1,916,25,229.0,Mumbai,Delhi,1205,1,Standard,6,9,3,0,NO_RETURN,15,0.6429,3077.43,3.0,Average garment. Fits okay but material feels cheap. Delivery was fast.,2024-12-18,0.39052669344838886,Mumbai,0.0558
77,2024-10-03,156,P070,Electronics,7093,1,7093,0,0.0,Delhi,Mumbai,1187,0,Express,4,4,0,0,NO_RETURN,6,0.2,1687.2,4.0,"Reliable device. Good performance, though not exceptional. Worth the price.",2024-10-11,0.03,Delhi,0.0653
78,2024-09-03,273,P043,Electronics,941,2,1882,20,376.4,Ahmedabad,Kolkata,1524,1,Standard,6,8,2,0,NO_RETURN,10,0.3333,2861.56,,,,0.17231177496675523,Ahmedabad,0.0134
79,2024-02-05,86,P044,Electronics,1045,3,3135,0,0.0,Ahmedabad,Mumbai,456,0,Standard,7,7,0,0,NO_RETURN,1,0.0,3135.0,4.0,This device is decent. Good features but packaging was average. Would recommend with reservations.,2024-02-22,0.10715639846257258,Ahmedabad,0.0829
80,2024-12-14,91,P022,Home,1093,2,2186,0,0.0,Kolkata,Kolkata,18,0,Standard,6,8,2,1,NOT_AS_DESCRIBED,12,0.5455,1370.55,1.0,Worst item ever. Doesn't work and arrived broken. Complete waste of money.,2024-12-28,0.4,Kolkata,0.0155
81,2024-04-25,163,P078,Clothing,874,1,874,10,87.4,Hyderabad,Mumbai,685,0,Express,3,5,2,1,SIZE_FIT_ISSUE,5,0.25,1578.75,1.0,This garment is garbage. Shrinks horribly and fades instantly. Terrible.,2024-04-28,0.08147714813174707,Hyderabad,0.0558
82,2024-07-11,203,P041,Electronics,1275,2,2550,0,0.0,Hyderabad,Mumbai,704,0,Express,4,4,0,0,NO_RETURN,11,0.4,1588.9,5.0,This device exceeded my expectations. Fast delivery and excellent build quality. Worth every penny!,2024-07-13,0.20526855148800066,Hyderabad,0.0525
83,2024-05-11,109,P060,Clothing,952,2,1904,10,190.4,Ahmedabad,Delhi,705,0,Standard,7,7,0,0,NO_RETURN,7,0.5,1513.67,4.0,Nice fit and quality garment. Comfortable but color slightly different from photos. Recommend.,2024-05-15,0.20272117768816014,Ahmedabad,0.0212
84,2024-10-06,271,P037,Home,2333,1,2333,20,466.6,Kolkata,Mumbai,1787,1,Standard,7,7,0,0,NO_RETURN,12,0.0909,2420.82,,,,0.10040771434977488,Kolkata,0.0476
85,2024-11-08,279,P069,Clothing,1163,1,1163,5,58.15,Chennai,Kolkata,1447,1,Standard,6,6,0,1,SIZE_FIT_ISSUE,16,0.3333,2358.87,2.0,This garment is bad. Shrinks after wash and color fades. Not recommended.,2024-11-24,0.2545509107539744,Chennai,0.0167
86,2024-02-07,179,P047,Beauty,572,2,1144,10,114.4,Kolkata,Hyderabad,1271,1,Express,3,3,0,1,QUALITY_DEFECT,2,0.0,3681.0,1.0,This product is toxic. Causes allergic reaction. Avoid at all costs.,2024-02-19,0.2316564972932516,Kolkata,0.0572
87,2024-08-28,47,P039,Clothing,920,1,920,20,184.0,Ahmedabad,Kolkata,1384,1,Standard,5,6,1,0,NO_RETURN,9,0.25,1157.88,5.0,Beautiful garment! True to size and great fabric. Fast delivery and excellent packaging.,2024-09-09,0.11851829277095703,Ahmedabad,0.0554
88,2024-04-20,10,P017,Home,3804,2,7608,0,0.0,Bangalore,Hyderabad,500,0,Standard,7,11,4,1,DELIVERY_DELAY,6,0.4,1465.2,3.0,This item is okay. Works but finish is subpar. Delivery was fast.,2024-05-01,0.04381125957792762,Bangalore,0.0055
89,2024-05-05,198,P001,Electronics,1589,1,1589,0,0.0,Chennai,Delhi,1564,1,Standard,7,12,5,0,NO_RETURN,5,0.25,956.25,4.0,This device is decent. Good features but packaging was average. Would recommend with reservations.,2024-05-07,0.18137357706579627,Chennai,0.005
90,2024-04-18,63,P049,Electronics,1452,1,1452,5,72.6,Kolkata,Hyderabad,1060,0,Express,3,3,0,0,NO_RETURN,6,0.4,2485.4,5.0,Love this device! Superior quality and arrived well-packaged. Five stars all the way.,2024-05-02,0.1257896152501817,Kolkata,0.0631
91,2024-08-03,289,P014,Clothing,788,2,1576,10,157.6,Ahmedabad,Delhi,883,0,Standard,4,4,0,0,NO_RETURN,21,0.4,2013.35,5.0,Fits perfectly and the material is high quality. Comfortable to wear all day. Highly recommend!,2024-08-19,0.26644173471656163,Ahmedabad,0.0081
92,2024-03-20,13,P064,Electronics,1677,2,3354,0,0.0,Bangalore,Bangalore,11,0,Express,4,4,0,0,NO_RETURN,2,1.0,1727.0,5.0,Love this device! Superior quality and arrived well-packaged. Five stars all the way.,2024-04-04,0.17637932113312224,Bangalore,0.0356
93,2024-11-23,114,P016,Home,770,1,770,0,0.0,Bangalore,Bangalore,84,0,Standard,7,7,0,1,NOT_AS_DESCRIBED,13,0.5833,3300.75,,,,0.3855287173014694,Bangalore,0.005
94,2024-01-19,69,P059,Beauty,646,1,646,0,0.0,Ahmedabad,Mumbai,422,0,Express,3,3,0,0,NO_RETURN,2,1.0,1100.0,5.0,This product is a game-changer. High quality ingredients and visible results. Love it!,2024-01-23,0.08651659930802,Ahmedabad,0.017
95,2024-11-14,248,P020,Electronics,4756,3,14268,0,0.0,Kolkata,Kolkata,26,0,Standard,5,5,0,0,NO_RETURN,13,0.25,4010.08,4.0,This device is decent. Good features but packaging was average. Would recommend with reservations.,2024-11-23,0.07265232832638144,Kolkata,0.0149
96,2024-07-22,82,P041,Electronics,1262,2,2524,10,252.4,Kolkata,Mumbai,1771,1,Express,3,4,1,1,NOT_AS_DESCRIBED,5,0.0,1703.25,4.0,"Reliable device. Good performance, though not exceptional. Worth the price.",2024-07-25,0.12423046528657122,Kolkata,0.0525
97,2024-03-24,20,P041,Electronics,1264,1,1264,15,189.6,Ahmedabad,Hyderabad,932,0,Standard,6,7,1,0,NO_RETURN,7,0.0,1617.17,5.0,Love this device! Superior quality and arrived well-packaged. Five stars all the way.,2024-03-30,0.08171382533184486,Ahmedabad,0.0525
98,2024-02-28,48,P070,Electronics,7208,2,14416,30,4324.8,Ahmedabad,Mumbai,386,0,Standard,6,6,0,0,NO_RETURN,3,0.0,1348.5,3.0,This device is okay. Decent features but battery life disappoints. Mixed feelings.,2024-03-17,0.06498476776201823,Ahmedabad,0.0653
99,2024-01-07,284,P065,Beauty,363,1,363,30,108.9,Kolkata,Mumbai,1602,1,Express,3,5,2,1,NO_LONGER_NEEDED,1,0.0,363.0,,,,0.1772436438198534,Kolkata,0.005
100,2024-10-31,283,P054,Electronics,1990,1,1990,10,199.0,Hyderabad,Delhi,1337,1,Standard,7,7,0,0,NO_RETURN,12,0.6364,2793.91,3.0,This device does the job. Minor defects and average performance. Not impressed.,2024-11-06,0.2886941622836415,Hyderabad,0.0594
101,2024-06-16,41,P042,Home,1359,2,2718,0,0.0,Ahmedabad,Delhi,870,0,Standard,4,4,0,1,QUALITY_DEFECT,10,0.1111,2076.78,1.0,Awful quality. Malfunctions immediately. Terrible packaging and delivery.,2024-06-25,0.19270408371760578,Ahmedabad,0.037
102,2024-05-17,161,P075,Home,1209,1,1209,10,120.9,Pune,Delhi,1094,0,Express,4,4,0,0,NO_RETURN,8,0.4286,1308.71,,,,0.09598407354742522,Pune,0.0073
103,2024-07-27,91,P008,Home,1291,1,1291,10,129.1,Kolkata,Bangalore,1451,1,Standard,5,8,3,1,NOT_AS_DESCRIBED,5,0.0,1113.75,2.0,This item is subpar. Difficult assembly and low quality. Not worth it.,2024-08-11,0.4,Kolkata,0.0089
104,2024-02-06,168,P036,Electronics,2713,1,2713,10,271.3,Pune,Delhi,1270,1,Express,2,2,0,1,DELIVERY_DELAY,2,0.0,2934.0,1.0,Awful device. Dead on arrival and terrible packaging. Never again.,2024-02-11,0.4,Pune,0.018
105,2024-10-19,88,P068,Beauty,347,1,347,0,0.0,Pune,Hyderabad,453,0,Standard,5,9,4,0,NO_RETURN,6,0.6,1993.6,,,,0.2162736362452682,Pune,0.0287
106,2024-03-09,109,P047,Beauty,531,3,1593,10,159.3,Ahmedabad,Hyderabad,892,0,Standard,4,4,0,1,NOT_AS_DESCRIBED,4,0.3333,1861.67,,,,0.20272117768816014,Ahmedabad,0.0572
107,2024-12-01,36,P049,Electronics,1442,1,1442,5,72.1,Kolkata,Delhi,1322,1,Standard,5,6,1,0,NO_RETURN,19,0.0556,1915.83,5.0,Perfect purchase! The device works exactly as advertised. Great value and fast shipping.,2024-12-12,0.11053867344207717,Kolkata,0.0631
