order_id,shipping_mode,expected_delivery_days,actual_delivery_days,delivery_delay,distance_km,is_remote_area
ORD197,Express,2,2,0,1978,1
ORD198,Standard,5,6,1,2278,1
ORD199,Express,2,2,0,814,0
ORD200,Express,2,3,1,1128,0
ORD201,Standard,5,6,1,446,0
ORD202,Express,2,3,1,2465,1
ORD203,Express,2,2,0,2243,1
ORD204,Standard,5,5,0,2000,1
ORD205,Standard,5,6,1,2106,1
ORD206,Standard,5,6,1,542,0
ORD207,Standard,5,5,0,917,0
ORD208,Express,2,2,0,370,0
ORD209,Standard,5,6,1,2487,1
ORD210,Express,2,2,0,2328,1
ORD211,Express,2,2,0,100,0
ORD212,Express,2,2,0,510,0
ORD213,Standard,5,5,0,482,0
ORD214,Express,2,6,4,1733,1
ORD215,Express,2,2,0,203,0
ORD216,Express,2,2,0,208,0
ORD217,Express,2,3,1,1150,0
ORD218,Express,2,2,0,1323,0
ORD219,Standard,5,5,0,983,0
ORD220,Express,2,2,0,1757,1
ORD221,Express,2,2,0,915,0
ORD222,Express,2,3,1,2165,1
ORD223,Standard,5,6,1,318,0
ORD224,Standard,5,6,1,2197,1
ORD225,Standard,5,6,1,872,0
ORD226,Express,2,2,0,257,0
ORD227,Express,2,3,1,1558,1
ORD228,Standard,5,5,0,175,0
ORD229,Express,2,2,0,777,0
ORD230,Express,2,2,0,1460,0
ORD231,Express,2,2,0,162,0
ORD232,Standard,5,5,0,956,0
ORD233,Express,2,3,1,1727,1
ORD234,Express,2,2,0,591,0
ORD235,Standard,5,5,0,1083,0
ORD236,Express,2,2,0,1785,1
ORD237,Express,2,3,1,943,0
ORD238,Standard,5,5,0,80,0
ORD239,Express,2,2,0,1272,0
ORD240,Express,2,2,0,1182,0
ORD241,Express,2,3,1,821,0
ORD242,Express,2,2,0,1359,0
ORD243,Express,2,2,0,1260,0
ORD244,Express,2,2,0,194,0
ORD245,Express,2,2,0,960,0
ORD246,Express,2,2,0,2127,1
ORD247,Express,2,3,1,449,0
ORD248,Standard,5,6,1,1424,0
ORD249,Standard,5,5,0,1307,0
ORD250,Express,2,2,0,2448,1
ORD251,Standard,5,5,0,2440,1
ORD252,Express,2,2,0,846,0
ORD253,Express,2,2,0,271,0
ORD254,Standard,5,6,1,1453,0
ORD255,Standard,5,6,1,1345,0
ORD256,Express,2,3,1,1412,0
ORD257,Express,2,2,0,1170,0
ORD258,Standard,5,5,0,2055,1
ORD259,Express,2,2,0,1808,1
ORD260,Standard,5,6,1,204,0
ORD261,Express,2,2,0,2225,1
ORD262,Express,2,2,0,1328,0
ORD263,Express,2,2,0,734,0
ORD264,Express,2,3,1,1826,1
ORD265,Express,2,2,0,1521,1
ORD266,Standard,5,5,0,985,0
ORD267,Standard,5,6,1,2465,1
ORD268,Standard,5,8,3,1586,1
ORD269,Standard,5,6,1,2482,1
ORD270,Standard,5,5,0,247,0
ORD271,Express,2,2,0,556,0
ORD272,Standard,5,5,0,891,0
ORD273,Express,2,4,2,1773,1
ORD274,Standard,5,5,0,1765,1
ORD275,Standard,5,5,0,1207,0
ORD276,Standard,5,5,0,868,0
ORD277,Express,2,2,0,1728,1
ORD278,Express,2,2,0,900,0
ORD279,Standard,5,6,1,61,0
ORD280,Express,2,2,0,660,0
ORD281,Standard,5,6,1,1098,0
ORD282,Express,2,2,0,1951,1
ORD283,Express,2,2,0,1330,0
ORD284,Standard,5,5,0,89,0
ORD285,Standard,5,6,1,1396,0
ORD286,Express,2,2,0,430,0
ORD287,Standard,5,9,4,1691,1
ORD288,Express,2,2,0,1777,1
ORD289,Standard,5,5,0,290,0
ORD290,Express,2,3,1,2469,1
ORD291,Express,2,2,0,1518,1
ORD292,Standard,5,5,0,2028,1
ORD293,Express,2,2,0,238,0
ORD294,Standard,5,5,0,2199,1
ORD295,Standard,5,5,0,1435,0
ORD296,Standard,5,5,0,1822,1
ORD297,Express,2,2,0,1626,1
ORD298,Standard,5,5,0,97,0
ORD299,Express,2,3,1,2080,1
ORD300,Express,2,3,1,1036,0
ORD301,Standard,5,7,2,2304,1
ORD302,Express,2,3,1,2397,1
ORD303,Express,2,2,0,122,0
ORD304,Standard,5,5,0,1297,0
ORD305,Express,2,2,0,1446,0
ORD306,Express,2,3,1,1409,0
ORD307,Express,2,2,0,1538,1
ORD308,Standard,5,5,0,58,0
ORD309,Express,2,2,0,485,0
ORD310,Express,2,2,0,852,0
ORD311,Express,2,2,0,830,0
ORD312,Standard,5,6,1,2461,1
ORD313,Standard,5,6,1,2093,1
ORD314,Express,2,2,0,2132,1
ORD315,Standard,5,6,1,575,0
ORD316,Express,2,2,0,2114,1
ORD317,Standard,5,7,2,1170,0
ORD318,Express,2,2,0,596,0
ORD319,Express,2,2,0,2293,1
ORD320,Standard,5,5,0,872,0
ORD321,Express,2,2,0,593,0
ORD322,Express,2,2,0,522,0
ORD323,Express,2,2,0,2236,1
ORD324,Standard,5,6,1,153,0
ORD325,Standard,5,6,1,868,0
ORD326,Express,2,3,1,649,0
ORD327,Standard,5,6,1,2266,1
ORD328,Standard,5,7,2,2348,1
ORD329,Express,2,2,0,242,0
ORD330,Express,2,3,1,2311,1
ORD331,Standard,5,7,2,1556,1
ORD332,Standard,5,5,0,842,0
ORD333,Standard,5,6,1,815,0
ORD334,Express,2,2,0,216,0
ORD335,Express,2,2,0,73,0
ORD336,Standard,5,5,0,679,0
ORD337,Express,2,2,0,2059,1
ORD338,Standard,5,5,0,1351,0
ORD339,Standard,5,5,0,2119,1
ORD340,Standard,5,5,0,923,0
ORD341,Express,2,2,0,944,0
ORD342,Express,2,2,0,2349,1
ORD343,Standard,5,5,0,1467,0
ORD344,Standard,5,5,0,213,0
ORD345,Standard,5,5,0,1630,1
ORD346,Express,2,2,0,2156,1
ORD347,Standard,5,5,0,1264,0
ORD348,Standard,5,6,1,443,0
ORD349,Standard,5,5,0,913,0
ORD350,Express,2,3,1,475,0
ORD351,Express,2,3,1,345,0
ORD352,Express,2,2,0,1408,0
ORD353,Express,2,2,0,2335,1
ORD354,Express,2,4,2,1706,1
ORD355,Standard,5,6,1,2240,1
ORD356,Standard,5,6,1,1515,1
ORD357,Express,2,3,1,404,0
ORD358,Express,2,2,0,176,0
ORD359,Standard,5,5,0,1651,1
ORD360,Standard,5,5,0,1270,0
ORD361,Standard,5,6,1,2317,1
ORD362,Standard,5,6,1,70,0
ORD363,Standard,5,5,0,1298,0
ORD364,Express,2,3,1,2149,1
ORD365,Standard,5,6,1,792,0
ORD366,Express,2,3,1,2301,1
ORD367,Express,2,2,0,1405,0
ORD368,Standard,5,5,0,459,0
ORD369,Express,2,2,0,2040,1
ORD370,Standard,5,6,1,2366,1
ORD371,Standard,5,5,0,69,0
ORD372,Express,2,2,0,1183,0
ORD373,Express,2,3,1,2015,1
ORD374,Express,2,3,1,2309,1
ORD375,Standard,5,5,0,1128,0
ORD376,Standard,5,7,2,126,0
ORD377,Express,2,2,0,2466,1
ORD378,Express,2,2,0,658,0
ORD379,Express,2,2,0,598,0
ORD380,Express,2,2,0,1540,1
ORD381,Standard,5,8,3,2155,1
ORD382,Standard,5,5,0,2030,1
ORD383,Express,2,2,0,999,0
ORD384,Standard,5,5,0,896,0
ORD385,Standard,5,5,0,213,0
ORD386,Express,2,3,1,1128,0
ORD387,Express,2,2,0,1600,1
ORD388,Express,2,2,0,1591,1
ORD389,Express,2,2,0,1495,0
ORD390,Express,2,2,0,77,0
ORD391,Standard,5,6,1,992,0
ORD392,Standard,5,5,0,815,0
ORD393,Standard,5,5,0,993,0
ORD394,Standard,5,6,1,2022,1
ORD395,Express,2,2,0,141,0
ORD396,Standard,5,5,0,601,0
ORD397,Standard,5,6,1,279,0
ORD398,Express,2,2,0,2358,1
ORD399,Standard,5,7,2,937,0
ORD400,Standard,5,5,0,948,0
ORD401,Standard,5,5,0,2142,1
ORD402,Standard,5,5,0,991,0
ORD403,Express,2,2,0,662,0
ORD404,Standard,5,6,1,2226,1
ORD405,Express,2,2,0,583,0
ORD406,Express,2,4,2,2188,1
ORD407,Standard,5,6,1,2024,1
ORD408,Standard,5,6,1,1792,1
ORD409,Express,2,2,0,1105,0
ORD410,Standard,5,7,2,2417,1
ORD411,Express,2,2,0,891,0
ORD412,Express,2,2,0,486,0
ORD413,Express,2,2,0,1120,0
ORD414,Express,2,2,0,1178,0
ORD415,Express,2,3,1,2311,1
ORD416,Express,2,4,2,2340,1
ORD417,Express,2,2,0,1680,1
ORD418,Standard,5,6,1,1879,1
ORD419,Standard,5,5,0,2132,1
ORD420,Standard,5,6,1,708,0
ORD421,Standard,5,6,1,645,0
ORD422,Standard,5,5,0,1568,1
ORD423,Express,2,2,0,1691,1
ORD424,Standard,5,6,1,767,0
ORD425,Standard,5,5,0,2172,1
ORD426,Standard,5,5,0,744,0
ORD427,Standard,5,5,0,694,0
ORD428,Express,2,2,0,1710,1
ORD429,Standard,5,5,0,419,0
ORD430,Express,2,2,0,1473,0
ORD431,Standard,5,6,1,1912,1
ORD432,Express,2,2,0,766,0
ORD433,Standard,5,5,0,2110,1
ORD434,Express,2,2,0,2253,1
ORD435,Express,2,5,3,1594,1
ORD436,Express,2,3,1,1937,1
ORD437,Standard,5,5,0,1106,0
ORD438,Standard,5,5,0,1343,0
ORD439,Standard,5,5,0,1128,0
ORD440,Express,2,2,0,361,0
ORD441,Express,2,2,0,1498,0
ORD442,Standard,5,6,1,828,0
ORD443,Standard,5,5,0,1137,0
ORD444,Express,2,4,2,688,0
ORD445,Express,2,2,0,77,0
ORD446,Express,2,3,1,2066,1
ORD447,Express,2,2,0,799,0
ORD448,Express,2,3,1,959,0
ORD449,Express,2,2,0,2009,1
ORD450,Express,2,3,1,1662,1
ORD451,Standard,5,6,1,2172,1
ORD452,Standard,5,5,0,913,0
ORD453,Express,2,2,0,1113,0
ORD454,Express,2,2,0,1548,1
ORD455,Express,2,2,0,1690,1
ORD456,Standard,5,5,0,459,0
ORD457,Express,2,2,0,1610,1
ORD458,Standard,5,6,1,773,0
ORD459,Express,2,2,0,2043,1
ORD460,Standard,5,6,1,1681,1
ORD461,Standard,5,5,0,1892,1
ORD462,Express,2,2,0,2345,1
ORD463,Standard,5,7,2,1736,1
ORD464,Standard,5,5,0,1215,0
ORD465,Express,2,3,1,1880,1
ORD466,Express,2,3,1,1949,1
ORD467,Express,2,2,0,1777,1
ORD468,Standard,5,7,2,374,0
ORD469,Express,2,3,1,1669,1
ORD470,Express,2,2,0,1745,1
ORD471,Express,2,2,0,377,0
ORD472,Standard,5,6,1,157,0
ORD473,Standard,5,5,0,1125,0
ORD474,Express,2,2,0,1317,0
ORD475,Standard,5,6,1,587,0
ORD476,Standard,5,5,0,1511,1
ORD477,Express,2,2,0,2296,1
ORD478,Standard,5,7,2,2470,1
ORD479,Express,2,2,0,2194,1
ORD480,Express,2,2,0,2022,1
ORD481,Express,2,3,1,1548,1
ORD482,Standard,5,5,0,50,0
ORD483,Express,2,2,0,1971,1
ORD484,Express,2,2,0,1277,0
ORD485,Standard,5,6,1,79,0
ORD486,Express,2,2,0,1666,1
ORD487,Express,2,2,0,953,0
ORD488,Standard,5,8,3,2166,1
ORD489,Express,2,3,1,1216,0
ORD490,Express,2,2,0,820,0
ORD491,Express,2,2,0,502,0
ORD492,Express,2,2,0,2065,1
ORD493,Standard,5,5,0,2241,1
ORD494,Express,2,2,0,83,0
ORD495,Standard,5,5,0,1450,0
ORD496,Standard,5,5,0,1402,0
ORD497,Express,2,2,0,342,0
ORD498,Express,2,3,1,1612,1
ORD499,Standard,5,7,2,1626,1
ORD500,Standard,5,5,0,865,0
ORD501,Standard,5,6,1,1986,1
ORD502,Standard,5,5,0,222,0
ORD503,Standard,5,8,3,1087,0
ORD504,Express,2,2,0,263,0
ORD505,Standard,5,5,0,1828,1
ORD506,Standard,5,7,2,1671,1
ORD507,Express,2,3,1,2492,1
ORD508,Standard,5,5,0,1436,0
ORD509,Standard,5,5,0,1506,1
ORD510,Standard,5,6,1,565,0
ORD511,Express,2,2,0,1846,1
ORD512,Express,2,2,0,1517,1
ORD513,Express,2,2,0,1842,1
ORD514,Express,2,2,0,827,0
ORD515,Express,2,2,0,1968,1
ORD516,Standard,5,6,1,2225,1
ORD517,Express,2,2,0,52,0
ORD518,Standard,5,5,0,126,0
ORD519,Standard,5,6,1,1363,0
ORD520,Express,2,2,0,827,0
ORD521,Standard,5,6,1,1209,0
ORD522,Standard,5,5,0,444,0
ORD523,Standard,5,6,1,781,0
ORD524,Express,2,2,0,834,0
ORD525,Express,2,3,1,2056,1
ORD526,Express,2,2,0,251,0
ORD527,Standard,5,5,0,103,0
ORD528,Express,2,2,0,377,0
ORD529,Express,2,3,1,2335,1
ORD530,Standard,5,6,1,1138,0
ORD531,Standard,5,6,1,934,0
ORD532,Standard,5,6,1,2227,1
ORD533,Standard,5,6,1,2337,1
ORD534,Standard,5,5,0,2411,1
ORD535,Express,2,2,0,476,0
ORD536,Standard,5,6,1,2236,1
ORD537,Express,2,2,0,2303,1
ORD538,Express,2,2,0,1813,1
ORD539,Standard,5,6,1,2356,1
ORD540,Express,2,2,0,1524,1
ORD541,Standard,5,5,0,191,0
ORD542,Standard,5,6,1,1286,0
ORD543,Standard,5,6,1,1180,0
ORD544,Standard,5,5,0,436,0
ORD545,Standard,5,5,0,1135,0
ORD546,Standard,5,8,3,1099,0
ORD547,Express,2,2,0,2380,1
ORD548,Express,2,2,0,2026,1
ORD549,Standard,5,5,0,2488,1
ORD550,Express,2,2,0,371,0
ORD551,Express,2,2,0,1756,1
ORD552,Standard,5,5,0,1616,1
ORD553,Standard,5,7,2,1388,0
ORD554,Standard,5,5,0,1659,1
ORD555,Standard,5,6,1,959,0
ORD556,Standard,5,5,0,1426,0
ORD557,Express,2,2,0,398,0
ORD558,Standard,5,5,0,602,0
ORD559,Express,2,2,0,2390,1
ORD560,Standard,5,6,1,1042,0
ORD561,Standard,5,6,1,510,0
ORD562,Express,2,2,0,830,0
ORD563,Standard,5,5,0,1298,0
ORD564,Standard,5,7,2,1854,1
ORD565,Standard,5,5,0,401,0
ORD566,Standard,5,5,0,1228,0
ORD567,Express,2,3,1,143,0
ORD568,Standard,5,5,0,2288,1
ORD569,Express,2,2,0,628,0
ORD570,Express,2,2,0,2437,1
ORD571,Express,2,2,0,747,0
ORD572,Express,2,2,0,267,0
ORD573,Express,2,2,0,1161,0
ORD574,Express,2,3,1,1633,1
ORD575,Express,2,3,1,2495,1
ORD576,Standard,5,5,0,212,0
ORD577,Express,2,3,1,2056,1
ORD578,Express,2,2,0,1288,0
ORD579,Express,2,2,0,1635,1
ORD580,Express,2,3,1,973,0
ORD581,Standard,5,6,1,409,0
ORD582,Standard,5,6,1,1759,1
ORD583,Express,2,2,0,2270,1
ORD584,Standard,5,6,1,615,0
ORD585,Standard,5,5,0,1811,1
ORD586,Standard,5,5,0,1350,0
ORD587,Express,2,2,0,646,0
ORD588,Express,2,2,0,1292,0
ORD589,Express,2,3,1,672,0
ORD590,Standard,5,7,2,157,0
ORD591,Express,2,4,2,2372,1
ORD592,Standard,5,5,0,156,0
ORD593,Express,2,3,1,1581,1
ORD594,Standard,5,5,0,976,0
ORD595,Express,2,2,0,961,0
ORD596,Standard,5,5,0,775,0
ORD597,Express,2,2,0,1380,0
ORD598,Express,2,2,0,221,0
ORD599,Express,2,2,0,1664,1
ORD600,Standard,5,7,2,2182,1
ORD601,Express,2,3,1,210,0
ORD602,Standard,5,6,1,827,0
ORD603,Standard,5,5,0,1780,1
ORD604,Standard,5,6,1,1948,1
ORD605,Standard,5,5,0,786,0
ORD606,Standard,5,5,0,1660,1
ORD607,Standard,5,6,1,1908,1
ORD608,Express,2,2,0,1377,0
ORD609,Standard,5,6,1,423,0
ORD610,Express,2,3,1,2145,1
ORD611,Standard,5,7,2,1422,0
ORD612,Standard,5,5,0,642,0
ORD613,Express,2,2,0,1311,0
ORD614,Standard,5,5,0,531,0
ORD615,Express,2,2,0,100,0
ORD616,Express,2,2,0,1024,0
ORD617,Express,2,3,1,1859,1
ORD618,Standard,5,6,1,250,0
ORD619,Express,2,2,0,200,0
ORD620,Express,2,2,0,1406,0
ORD621,Express,2,2,0,780,0
ORD622,Standard,5,7,2,1915,1
ORD623,Standard,5,5,0,1275,0
ORD624,Standard,5,7,2,1249,0
ORD625,Express,2,2,0,1398,0
ORD626,Standard,5,5,0,288,0
ORD627,Standard,5,6,1,2031,1
ORD628,Express,2,2,0,1346,0
ORD629,Express,2,3,1,581,0
ORD630,Express,2,3,1,2067,1
ORD631,Express,2,2,0,842,0
ORD632,Standard,5,6,1,899,0
ORD633,Standard,5,5,0,1417,0
ORD634,Standard,5,5,0,1203,0
ORD635,Express,2,3,1,2125,1
ORD636,Express,2,2,0,1448,0
ORD637,Standard,5,8,3,769,0
ORD638,Express,2,3,1,1993,1
ORD639,Express,2,3,1,686,0
ORD640,Express,2,2,0,1745,1
ORD641,Express,2,2,0,2364,1
ORD642,Standard,5,5,0,903,0
ORD643,Standard,5,5,0,661,0
ORD644,Express,2,2,0,2238,1
ORD645,Express,2,3,1,817,0
ORD646,Express,2,3,1,179,0
ORD647,Standard,5,5,0,1572,1
ORD648,Express,2,2,0,766,0
ORD649,Standard,5,7,2,1867,1
ORD650,Standard,5,5,0,829,0
ORD651,Express,2,2,0,1390,0
ORD652,Standard,5,5,0,890,0
ORD653,Standard,5,5,0,66,0
ORD654,Standard,5,5,0,1415,0
ORD655,Express,2,2,0,142,0
ORD656,Standard,5,7,2,1364,0
ORD657,Express,2,2,0,1856,1
ORD658,Standard,5,6,1,1170,0
ORD659,Standard,5,6,1,2272,1
ORD660,Standard,5,6,1,1210,0
ORD661,Express,2,2,0,1437,0
ORD662,Standard,5,6,1,1978,1
ORD663,Express,2,3,1,270,0
ORD664,Express,2,2,0,1506,1
ORD665,Standard,5,9,4,1957,1
ORD666,Standard,5,7,2,1916,1
ORD667,Express,2,2,0,1977,1
ORD668,Express,2,2,0,1655,1
ORD669,Express,2,3,1,173,0
ORD670,Express,2,2,0,1477,0
ORD671,Standard,5,6,1,1711,1
ORD672,Standard,5,5,0,1287,0
ORD673,Express,2,2,0,1027,0
ORD674,Express,2,3,1,1622,1
ORD675,Express,2,2,0,2373,1
ORD676,Standard,5,5,0,758,0
ORD677,Express,2,2,0,518,0
ORD678,Standard,5,5,0,1873,1
ORD679,Standard,5,5,0,2492,1
ORD680,Express,2,2,0,301,0
ORD681,Standard,5,6,1,650,0
ORD682,Express,2,2,0,1647,1
ORD683,Standard,5,7,2,1346,0
ORD684,Express,2,2,0,415,0
ORD685,Express,2,2,0,572,0
ORD686,Standard,5,5,0,53,0
ORD687,Express,2,3,1,177,0
ORD688,Express,2,3,1,1713,1
ORD689,Standard,5,6,1,1995,1
ORD690,Standard,5,5,0,1231,0
ORD691,Standard,5,5,0,97,0
ORD692,Express,2,2,0,606,0
ORD693,Express,2,2,0,786,0
ORD694,Express,2,3,1,1625,1
ORD695,Express,2,2,0,1019,0
ORD696,Express,2,2,0,187,0
ORD697,Express,2,2,0,513,0
ORD698,Standard,5,7,2,2206,1
ORD699,Standard,5,6,1,2193,1
ORD700,Express,2,2,0,369,0
ORD701,Express,2,3,1,266,0
ORD702,Express,2,3,1,1909,1
ORD703,Express,2,2,0,1774,1
ORD704,Standard,5,6,1,194,0
ORD705,Standard,5,6,1,1988,1
ORD706,Express,2,2,0,161,0
ORD707,Express,2,2,0,592,0
ORD708,Standard,5,5,0,765,0
ORD709,Express,2,3,1,1564,1
ORD710,Standard,5,8,3,2036,1
ORD711,Standard,5,6,1,644,0
ORD712,Express,2,3,1,1619,1
ORD713,Standard,5,5,0,913,0
ORD714,Express,2,2,0,525,0
ORD715,Standard,5,7,2,1605,1
ORD716,Express,2,2,0,98,0
ORD717,Standard,5,7,2,448,0
ORD718,Express,2,2,0,1166,0
ORD719,Express,2,4,2,2442,1
ORD720,Standard,5,5,0,2179,1
ORD721,Express,2,3,1,2293,1
ORD722,Standard,5,6,1,2201,1
ORD723,Standard,5,5,0,189,0
ORD724,Standard,5,5,0,548,0
ORD725,Standard,5,5,0,1589,1
ORD726,Standard,5,5,0,504,0
ORD727,Express,2,3,1,360,0
