order_id,is_returned,return_reason,return_days_after_delivery
O255,1,QUALITY_DEFECT,2
O256,1,SIZE_FIT_ISSUE,10
O257,1,DAMAGED_IN_TRANSIT,5
O258,0,NONE,0
O259,0,NONE,0
O260,0,NONE,0
O261,1,SIZE_FIT_ISSUE,8
O262,0,NONE,0
O263,0,NONE,0
O264,0,NONE,0
O265,0,NONE,0
O266,0,NONE,0
O267,0,NONE,0
O268,1,WRONG_ITEM,3
O269,1,SIZE_FIT_ISSUE,8
O270,1,QUALITY_DEFECT,1
O271,0,NONE,0
O272,0,NONE,0
O273,0,NONE,0
O274,1,QUALITY_DEFECT,4
O275,0,NONE,0
O276,0,NONE,0
O277,0,NONE,0
O278,0,NONE,0
O279,1,SIZE_FIT_ISSUE,3
O280,1,WRONG_ITEM,2
O281,0,NONE,0
O282,1,SIZE_FIT_ISSUE,1
O283,0,NONE,0
O284,0,NONE,0
O285,1,SIZE_FIT_ISSUE,10
O286,1,NOT_AS_DESCRIBED,8
O287,0,NONE,0
O288,1,SIZE_FIT_ISSUE,9
O289,0,NONE,0
O290,1,WRONG_ITEM,7
O291,0,NONE,0
O292,1,NOT_AS_DESCRIBED,9
O293,0,NONE,0
O294,0,NONE,0
O295,0,NONE,0
O296,0,NONE,0
O297,0,NONE,0
O298,0,NONE,0
O299,1,SIZE_FIT_ISSUE,7
O300,1,WRONG_ITEM,6
O301,1,SIZE_FIT_ISSUE,9
O302,0,NONE,0
O303,0,NONE,0
O304,0,NONE,0
O305,0,NONE,0
O306,0,NONE,0
O307,1,NOT_AS_DESCRIBED,8
O308,1,WRONG_ITEM,6
O309,0,NONE,0
O310,1,NOT_AS_DESCRIBED,3
O311,1,QUALITY_DEFECT,3
O312,1,WRONG_ITEM,8
O313,1,NOT_AS_DESCRIBED,3
O314,0,NONE,0
O315,0,NONE,0
O316,0,NONE,0
O317,0,NONE,0
O318,0,NONE,0
O319,1,SIZE_FIT_ISSUE,1
O320,0,NONE,0
O321,0,NONE,0
O322,1,SIZE_FIT_ISSUE,4
O323,1,WRONG_ITEM,7
O324,1,DAMAGED_IN_TRANSIT,10
O325,0,NONE,0
O326,1,DAMAGED_IN_TRANSIT,5
O327,0,NONE,0
O328,0,NONE,0
O329,1,NO_LONGER_NEEDED,3
O330,0,NONE,0
O331,1,DAMAGED_IN_TRANSIT,3
O332,0,NONE,0
O333,1,SIZE_FIT_ISSUE,1
O334,0,NONE,0
O335,1,NO_LONGER_NEEDED,10
O336,1,NO_LONGER_NEEDED,6
O337,0,NONE,0
O338,0,NONE,0
O339,0,NONE,0
O340,0,NONE,0
O341,1,SIZE_FIT_ISSUE,1
O342,0,NONE,0
O343,1,QUALITY_DEFECT,3
O344,0,NONE,0
O345,1,DELIVERY_DELAY,1
O346,1,SIZE_FIT_ISSUE,10
O347,1,WRONG_ITEM,8
O348,1,SIZE_FIT_ISSUE,2
O349,0,NONE,0
O350,1,QUALITY_DEFECT,6
O351,0,NONE,0
O352,1,SIZE_FIT_ISSUE,4
O353,1,WRONG_ITEM,1
O354,0,NONE,0
O355,0,NONE,0
O356,0,NONE,0
O357,1,NO_LONGER_NEEDED,2
O358,0,NONE,0
O359,0,NONE,0
O360,1,SIZE_FIT_ISSUE,7
O361,0,NONE,0
O362,0,NONE,0
O363,0,NONE,0
O364,0,NONE,0
O365,0,NONE,0
O366,0,NONE,0
O367,0,NONE,0
O368,1,WRONG_ITEM,6
O369,1,SIZE_FIT_ISSUE,1
O370,1,SIZE_FIT_ISSUE,10
O371,1,NO_LONGER_NEEDED,7
O372,1,SIZE_FIT_ISSUE,9
O373,0,NONE,0
O374,0,NONE,0
O375,0,NONE,0
O376,1,QUALITY_DEFECT,8
O377,0,NONE,0
O378,0,NONE,0
O379,1,SIZE_FIT_ISSUE,7
O380,0,NONE,0
O381,0,NONE,0
O382,0,NONE,0
O383,0,NONE,0
O384,1,SIZE_FIT_ISSUE,1
O385,1,DAMAGED_IN_TRANSIT,4
O386,1,SIZE_FIT_ISSUE,4
O387,0,NONE,0
O388,0,NONE,0
O389,0,NONE,0
O390,1,SIZE_FIT_ISSUE,4
O391,0,NONE,0
O392,0,NONE,0
O393,0,NONE,0
O394,1,SIZE_FIT_ISSUE,9
O395,1,DELIVERY_DELAY,8
O396,0,NONE,0
O397,0,NONE,0
O398,1,QUALITY_DEFECT,9
O399,1,SIZE_FIT_ISSUE,1
O400,1,SIZE_FIT_ISSUE,10
O401,1,NO_LONGER_NEEDED,9
O402,1,SIZE_FIT_ISSUE,10
O403,0,NONE,0
O404,1,WRONG_ITEM,8
O405,0,NONE,0
O406,0,NONE,0
O407,1,QUALITY_DEFECT,5
O408,0,NONE,0
O409,0,NONE,0
O410,0,NONE,0
O411,0,NONE,0
O412,1,DAMAGED_IN_TRANSIT,3
O413,0,NONE,0
O414,1,DAMAGED_IN_TRANSIT,4
O415,0,NONE,0
O416,0,NONE,0
O417,0,NONE,0
O418,0,NONE,0
O419,1,WRONG_ITEM,10
O420,0,NONE,0
O421,0,NONE,0
O422,0,NONE,0
O423,0,NONE,0
O424,1,QUALITY_DEFECT,9
O425,0,NONE,0
O426,0,NONE,0
O427,0,NONE,0
O428,0,NONE,0
O429,0,NONE,0
O430,0,NONE,0
O431,1,WRONG_ITEM,10
O432,0,NONE,0
O433,1,SIZE_FIT_ISSUE,2
O434,0,NONE,0
O435,1,SIZE_FIT_ISSUE,5
O436,0,NONE,0
O437,0,NONE,0
O438,0,NONE,0
O439,1,SIZE_FIT_ISSUE,5
O440,0,NONE,0
O441,0,NONE,0
O442,1,QUALITY_DEFECT,9
O443,1,NO_LONGER_NEEDED,10
O444,0,NONE,0
O445,0,NONE,0
O446,1,DAMAGED_IN_TRANSIT,7
O447,1,WRONG_ITEM,10
O448,0,NONE,0
O449,0,NONE,0
O450,0,NONE,0
O451,1,SIZE_FIT_ISSUE,5
O452,1,NOT_AS_DESCRIBED,8
O453,0,NONE,0
O454,1,WRONG_ITEM,8
O455,1,SIZE_FIT_ISSUE,6
O456,0,NONE,0
O457,0,NONE,0
O458,1,QUALITY_DEFECT,7
O459,0,NONE,0
O460,0,NONE,0
O461,0,NONE,0
O462,0,NONE,0
O463,1,SIZE_FIT_ISSUE,1
O464,1,DAMAGED_IN_TRANSIT,10
O465,1,SIZE_FIT_ISSUE,4
O466,0,NONE,0
O467,0,NONE,0
O468,1,QUALITY_DEFECT,5
O469,0,NONE,0
O470,0,NONE,0
O471,1,NO_LONGER_NEEDED,2
O472,0,NONE,0
O473,1,NOT_AS_DESCRIBED,2
O474,0,NONE,0
O475,1,QUALITY_DEFECT,3
O476,0,NONE,0
O477,0,NONE,0
O478,0,NONE,0
O479,0,NONE,0
O480,0,NONE,0
O481,1,WRONG_ITEM,5
O482,0,NONE,0
O483,0,NONE,0
O484,0,NONE,0
O485,0,NONE,0
O486,0,NONE,0
O487,0,NONE,0
O488,0,NONE,0
O489,1,SIZE_FIT_ISSUE,7
O490,0,NONE,0
O491,0,NONE,0
O492,1,SIZE_FIT_ISSUE,1
O493,1,SIZE_FIT_ISSUE,4
O494,1,SIZE_FIT_ISSUE,2
O495,0,NONE,0
O496,1,SIZE_FIT_ISSUE,8
O497,0,NONE,0
O498,0,NONE,0
O499,0,NONE,0
O500,0,NONE,0
O501,1,NO_LONGER_NEEDED,7
O502,1,QUALITY_DEFECT,3
O503,1,SIZE_FIT_ISSUE,3
O504,1,NOT_AS_DESCRIBED,9
O505,1,SIZE_FIT_ISSUE,3
O506,0,NONE,0
O507,1,SIZE_FIT_ISSUE,4
O508,0,NONE,0
O509,0,NONE,0
O510,1,SIZE_FIT_ISSUE,2
O511,1,SIZE_FIT_ISSUE,6
O512,1,SIZE_FIT_ISSUE,3
O513,0,NONE,0
O514,0,NONE,0
O515,0,NONE,0
O516,0,NONE,0
O517,0,NONE,0
O518,0,NONE,0
O519,0,NONE,0
O520,1,SIZE_FIT_ISSUE,10
O521,0,NONE,0
O522,1,NO_LONGER_NEEDED,1
O523,0,NONE,0
O524,0,NONE,0
O525,1,DELIVERY_DELAY,1
O526,0,NONE,0
O527,0,NONE,0
O528,0,NONE,0
O529,0,NONE,0
O530,0,NONE,0
O531,1,NO_LONGER_NEEDED,8
O532,0,NONE,0
O533,0,NONE,0
O534,0,NONE,0
O535,0,NONE,0
O536,0,NONE,0
O537,1,DAMAGED_IN_TRANSIT,7
O538,1,DAMAGED_IN_TRANSIT,8
O539,1,WRONG_ITEM,9
O540,0,NONE,0
O541,1,SIZE_FIT_ISSUE,4
O542,1,DAMAGED_IN_TRANSIT,9
O543,0,NONE,0
O544,0,NONE,0
O545,0,NONE,0
O546,1,SIZE_FIT_ISSUE,10
O547,0,NONE,0
O548,0,NONE,0
O549,0,NONE,0
O550,1,NO_LONGER_NEEDED,7
O551,1,QUALITY_DEFECT,1
O552,0,NONE,0
O553,1,DAMAGED_IN_TRANSIT,4
O554,0,NONE,0
O555,1,DAMAGED_IN_TRANSIT,2
O556,0,NONE,0
O557,1,SIZE_FIT_ISSUE,8
O558,1,WRONG_ITEM,5
O559,0,NONE,0
O560,1,SIZE_FIT_ISSUE,3
O561,0,NONE,0
O562,1,DELIVERY_DELAY,10
O563,0,NONE,0
O564,0,NONE,0
O565,1,SIZE_FIT_ISSUE,6
O566,0,NONE,0
O567,1,NOT_AS_DESCRIBED,7
O568,0,NONE,0
O569,1,DAMAGED_IN_TRANSIT,8
O570,1,SIZE_FIT_ISSUE,10
O571,0,NONE,0
O572,1,NO_LONGER_NEEDED,3
O573,0,NONE,0
O574,0,NONE,0
O575,0,NONE,0
O576,0,NONE,0
O577,0,NONE,0
O578,1,NO_LONGER_NEEDED,3
O579,0,NONE,0
O580,1,QUALITY_DEFECT,7
O581,0,NONE,0
O582,0,NONE,0
O583,1,DAMAGED_IN_TRANSIT,5
O584,0,NONE,0
O585,1,SIZE_FIT_ISSUE,5
O586,0,NONE,0
O587,0,NONE,0
O588,1,SIZE_FIT_ISSUE,6
O589,0,NONE,0
O590,0,NONE,0
O591,1,DAMAGED_IN_TRANSIT,2
O592,0,NONE,0
O593,0,NONE,0
O594,1,NOT_AS_DESCRIBED,4
O595,0,NONE,0
O596,1,WRONG_ITEM,2
O597,0,NONE,0
O598,0,NONE,0
O599,0,NONE,0
O600,0,NONE,0
O601,1,SIZE_FIT_ISSUE,3
O602,1,SIZE_FIT_ISSUE,2
O603,0,NONE,0
O604,1,SIZE_FIT_ISSUE,3
O605,0,NONE,0
O606,1,SIZE_FIT_ISSUE,3
O607,0,NONE,0
O608,0,NONE,0
O609,0,NONE,0
O610,0,NONE,0
O611,0,NONE,0
O612,0,NONE,0
O613,1,NO_LONGER_NEEDED,7
O614,1,SIZE_FIT_ISSUE,9
O615,1,WRONG_ITEM,10
O616,0,NONE,0
O617,0,NONE,0
O618,1,NO_LONGER_NEEDED,7
O619,0,NONE,0
O620,0,NONE,0
O621,1,WRONG_ITEM,9
O622,1,QUALITY_DEFECT,4
O623,0,NONE,0
O624,0,NONE,0
O625,0,NONE,0
O626,1,NO_LONGER_NEEDED,3
O627,1,QUALITY_DEFECT,5
O628,1,SIZE_FIT_ISSUE,10
O629,0,NONE,0
O630,1,SIZE_FIT_ISSUE,4
O631,0,NONE,0
O632,0,NONE,0
O633,1,DAMAGED_IN_TRANSIT,1
O634,0,NONE,0
O635,0,NONE,0
O636,1,QUALITY_DEFECT,6
O637,0,NONE,0
O638,0,NONE,0
O639,0,NONE,0
O640,0,NONE,0
O641,0,NONE,0
O642,0,NONE,0
O643,1,DAMAGED_IN_TRANSIT,7
O644,0,NONE,0
O645,1,SIZE_FIT_ISSUE,1
O646,0,NONE,0
O647,0,NONE,0
O648,1,SIZE_FIT_ISSUE,7
O649,0,NONE,0
O650,0,NONE,0
O651,0,NONE,0
O652,0,NONE,0
O653,0,NONE,0
O654,0,NONE,0
O655,0,NONE,0
O656,0,NONE,0
O657,0,NONE,0
O658,1,QUALITY_DEFECT,7
O659,0,NONE,0
O660,1,DAMAGED_IN_TRANSIT,4
O661,1,SIZE_FIT_ISSUE,2
O662,0,NONE,0
O663,0,NONE,0
O664,1,NO_LONGER_NEEDED,2
O665,1,SIZE_FIT_ISSUE,4
O666,1,WRONG_ITEM,7
O667,0,NONE,0
O668,1,NO_LONGER_NEEDED,8
O669,0,NONE,0
O670,0,NONE,0
O671,0,NONE,0
O672,1,NOT_AS_DESCRIBED,4
O673,1,SIZE_FIT_ISSUE,8
O674,0,NONE,0
O675,0,NONE,0
O676,0,NONE,0
O677,0,NONE,0
O678,0,NONE,0
O679,1,SIZE_FIT_ISSUE,1
O680,0,NONE,0
O681,0,NONE,0
O682,0,NONE,0
O683,1,QUALITY_DEFECT,8
O684,0,NONE,0
O685,1,SIZE_FIT_ISSUE,3
O686,1,SIZE_FIT_ISSUE,9
O687,0,NONE,0
O688,0,NONE,0
O689,1,DAMAGED_IN_TRANSIT,10
O690,0,NONE,0
O691,0,NONE,0
O692,0,NONE,0
O693,1,SIZE_FIT_ISSUE,2
O694,1,WRONG_ITEM,5
O695,0,NONE,0
O696,0,NONE,0
O697,0,NONE,0
O698,0,NONE,0
O699,1,SIZE_FIT_ISSUE,5
O700,1,QUALITY_DEFECT,5
O701,0,NONE,0
O702,0,NONE,0
O703,0,NONE,0
O704,0,NONE,0
O705,1,DAMAGED_IN_TRANSIT,7
O706,1,SIZE_FIT_ISSUE,2
O707,0,NONE,0
O708,0,NONE,0
O709,0,NONE,0
O710,0,NONE,0
O711,1,NO_LONGER_NEEDED,7
O712,0,NONE,0
O713,1,NOT_AS_DESCRIBED,1
O714,0,NONE,0
O715,0,NONE,0
O716,0,NONE,0
O717,0,NONE,0
O718,0,NONE,0
O719,0,NONE,0
O720,0,NONE,0
O721,0,NONE,0
O722,0,NONE,0
O723,0,NONE,0
O724,1,NO_LONGER_NEEDED,4
O725,0,NONE,0
O726,0,NONE,0
O727,0,NONE,0
O728,1,SIZE_FIT_ISSUE,5
O729,1,NO_LONGER_NEEDED,3
O730,0,NONE,0
O731,1,DAMAGED_IN_TRANSIT,10
O732,0,NONE,0
O733,0,NONE,0
O734,0,NONE,0
O735,0,NONE,0
O736,1,SIZE_FIT_ISSUE,8
O737,0,NONE,0
O738,0,NONE,0
O739,0,NONE,0
O740,0,NONE,0
O741,1,DAMAGED_IN_TRANSIT,10
O742,1,SIZE_FIT_ISSUE,5
O743,1,SIZE_FIT_ISSUE,2
O744,1,DAMAGED_IN_TRANSIT,10
O745,0,NONE,0
O746,0,NONE,0
O747,0,NONE,0
O748,1,NOT_AS_DESCRIBED,8
O749,1,SIZE_FIT_ISSUE,10
O750,1,SIZE_FIT_ISSUE,6
O751,0,NONE,0
O752,1,WRONG_ITEM,9
O753,0,NONE,0
O754,0,NONE,0
O755,1,SIZE_FIT_ISSUE,3
O756,1,SIZE_FIT_ISSUE,10
O757,0,NONE,0
O758,1,SIZE_FIT_ISSUE,9
O759,0,NONE,0
O760,0,NONE,0
O761,0,NONE,0
O762,1,SIZE_FIT_ISSUE,8
O763,0,NONE,0
O764,1,SIZE_FIT_ISSUE,8
O765,1,DELIVERY_DELAY,9
O766,1,QUALITY_DEFECT,1
O767,0,NONE,0
O768,1,SIZE_FIT_ISSUE,9
O769,1,SIZE_FIT_ISSUE,6
O770,1,DAMAGED_IN_TRANSIT,9
O771,0,NONE,0
O772,0,NONE,0
O773,1,SIZE_FIT_ISSUE,9
O774,0,NONE,0
O775,1,NO_LONGER_NEEDED,3
O776,0,NONE,0
O777,1,NO_LONGER_NEEDED,8
O778,0,NONE,0
O779,0,NONE,0
O780,0,NONE,0
O781,1,SIZE_FIT_ISSUE,10
O782,1,DAMAGED_IN_TRANSIT,3
O783,0,NONE,0
O784,0,NONE,0
O785,0,NONE,0
O786,1,DELIVERY_DELAY,9
O787,0,NONE,0
O788,0,NONE,0
O789,1,QUALITY_DEFECT,6
O790,0,NONE,0
O791,1,NO_LONGER_NEEDED,3
O792,1,NO_LONGER_NEEDED,2
O793,1,QUALITY_DEFECT,8
O794,0,NONE,0
O795,0,NONE,0
O796,0,NONE,0
O797,0,NONE,0
O798,0,NONE,0
O799,0,NONE,0
O800,1,WRONG_ITEM,6
O801,0,NONE,0
O802,1,WRONG_ITEM,7
O803,1,NO_LONGER_NEEDED,1
O804,1,WRONG_ITEM,10
O805,0,NONE,0
O806,0,NONE,0
O807,0,NONE,0
O808,0,NONE,0
O809,1,SIZE_FIT_ISSUE,9
O810,1,NO_LONGER_NEEDED,6
O811,0,NONE,0
O812,1,DELIVERY_DELAY,9
O813,1,WRONG_ITEM,2
O814,0,NONE,0
O815,1,NO_LONGER_NEEDED,10
O816,0,NONE,0
O817,0,NONE,0
O818,0,NONE,0
O819,0,NONE,0
O820,0,NONE,0
O821,0,NONE,0
O822,0,NONE,0
O823,0,NONE,0
O824,0,NONE,0
O825,1,SIZE_FIT_ISSUE,2
O826,0,NONE,0
O827,1,WRONG_ITEM,10
O828,0,NONE,0
O829,1,DELIVERY_DELAY,10
O830,1,WRONG_ITEM,1
O831,0,NONE,0
O832,0,NONE,0
O833,1,SIZE_FIT_ISSUE,2
O834,0,NONE,0
O835,0,NONE,0
O836,1,WRONG_ITEM,10
O837,0,NONE,0
O838,0,NONE,0
O839,0,NONE,0
O840,0,NONE,0
O841,0,NONE,0
O842,0,NONE,0
O843,0,NONE,0
O844,1,SIZE_FIT_ISSUE,5
O845,0,NONE,0
O846,0,NONE,0
O847,0,NONE,0
O848,1,QUALITY_DEFECT,4
O849,0,NONE,0
O850,0,NONE,0
O851,0,NONE,0
O852,0,NONE,0
O853,0,NONE,0
O854,0,NONE,0
O855,1,NO_LONGER_NEEDED,9
O856,1,DAMAGED_IN_TRANSIT,6
O857,1,SIZE_FIT_ISSUE,5
O858,0,NONE,0
O859,0,NONE,0
O860,1,DELIVERY_DELAY,4
O861,0,NONE,0
O862,1,DAMAGED_IN_TRANSIT,6
O863,0,NONE,0
O864,0,NONE,0
O865,0,NONE,0
O866,0,NONE,0
O867,1,NO_LONGER_NEEDED,4
O868,1,DAMAGED_IN_TRANSIT,7
O869,0,NONE,0
O870,0,NONE,0
O871,0,NONE,0
O872,1,QUALITY_DEFECT,8
O873,0,NONE,0
O874,0,NONE,0
O875,0,NONE,0
O876,0,NONE,0
O877,0,NONE,0
O878,0,NONE,0
O879,1,SIZE_FIT_ISSUE,3
O880,1,QUALITY_DEFECT,6
O881,1,SIZE_FIT_ISSUE,2
O882,0,NONE,0
O883,0,NONE,0
O884,0,NONE,0
O885,0,NONE,0
O886,1,SIZE_FIT_ISSUE,1
O887,1,NO_LONGER_NEEDED,9
O888,1,SIZE_FIT_ISSUE,2
O889,0,NONE,0
O890,0,NONE,0
O891,1,NO_LONGER_NEEDED,8
O892,0,NONE,0
O893,0,NONE,0
O894,1,SIZE_FIT_ISSUE,2
O895,0,NONE,0
O896,0,NONE,0
O897,0,NONE,0
O898,0,NONE,0
O899,0,NONE,0
O900,1,SIZE_FIT_ISSUE,1
O901,1,DAMAGED_IN_TRANSIT,8
O902,0,NONE,0
O903,1,DAMAGED_IN_TRANSIT,1
O904,0,NONE,0
O905,0,NONE,0
O906,0,NONE,0
O907,1,SIZE_FIT_ISSUE,4
O908,0,NONE,0
O909,1,NOT_AS_DESCRIBED,1
O910,1,DAMAGED_IN_TRANSIT,5
O911,0,NONE,0
O912,1,DAMAGED_IN_TRANSIT,1
O913,1,WRONG_ITEM,10
O914,0,NONE,0
O915,0,NONE,0
O916,0,NONE,0
O917,0,NONE,0
O918,0,NONE,0
O919,0,NONE,0
O920,1,SIZE_FIT_ISSUE,2
O921,0,NONE,0
O922,0,NONE,0
O923,1,SIZE_FIT_ISSUE,4
O924,0,NONE,0
O925,0,NONE,0
O926,0,NONE,0
O927,0,NONE,0
O928,0,NONE,0
O929,0,NONE,0
O930,0,NONE,0
O931,0,NONE,0
O932,0,NONE,0
O933,1,DELIVERY_DELAY,1
O934,0,NONE,0
O935,0,NONE,0
O936,0,NONE,0
